epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5475,1.55975,4.87138,2.11552,0.43185,0.79545,0.43809,0.35222,0.72588,6.22978,2.14755,0.0003625,0.0003625,0.0003625
2,23.3814,1.08259,1.93243,1.63504,0.00318,0.83732,0.0036,0.0008,3.16792,75.5495,4.22649,0.000730199,0.000730199,0.000730199
3,33.9517,1.09975,1.64138,1.61501,0.01558,0.13818,0.02069,0.00679,3.09706,21.2185,5.23485,0.00109047,0.00109047,0.00109047
4,44.5348,1.05055,1.4807,1.57095,0.33478,0.01804,0.03448,0.00717,2.87482,4.40991,3.424,0.00121287,0.00121287,0.00121287
5,55.0774,0.97591,1.38312,1.50796,0.00092,0.03571,0.01829,0.00246,5.07147,3.62177,4.74547,0.0012005,0.0012005,0.0012005
6,65.6493,0.92155,1.35832,1.45284,0.48055,0.8098,0.4853,0.42504,0.60991,1.49586,1.69322,0.00118812,0.00118812,0.00118812
7,76.2528,0.85289,1.31752,1.40139,0,0,0,0,4.8142,5.21321,4.71412,0.00117575,0.00117575,0.00117575
8,86.8407,0.82575,1.25193,1.38193,0,0,0,0,5.24854,6.12057,4.78153,0.00116337,0.00116337,0.00116337
9,97.3858,0.80762,1.23643,1.3751,0.61672,0.48585,0.29293,0.10038,2.34454,2.59755,4.33925,0.001151,0.001151,0.001151
10,107.954,0.8016,1.2382,1.34074,0.04186,0.12332,0.03162,0.00701,3.7121,2.99864,4.11439,0.00113863,0.00113863,0.00113863
11,118.515,0.77551,1.21201,1.33623,0.48851,0.56808,0.39065,0.22071,1.70899,2.10668,3.43782,0.00112625,0.00112625,0.00112625
12,129.051,0.75699,1.23253,1.31612,0.24316,0.36894,0.15614,0.03712,3.63064,2.57443,3.45602,0.00111388,0.00111388,0.00111388
13,139.597,0.744,1.20035,1.31402,0.42301,0.5859,0.39111,0.17208,2.17475,2.07328,3.96951,0.0011015,0.0011015,0.0011015
14,150.191,0.72694,1.15648,1.30447,0.63551,0.53793,0.49041,0.22793,1.74559,2.08238,3.31564,0.00108913,0.00108913,0.00108913
15,160.718,0.72969,1.18248,1.29162,0.468,0.68019,0.54705,0.47022,0.64381,1.11301,1.52856,0.00107675,0.00107675,0.00107675
16,171.382,0.73914,1.16886,1.30457,0.51785,0.6037,0.53778,0.35554,1.31563,1.48834,1.9348,0.00106437,0.00106437,0.00106437
