epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6636,0.65816,2.99371,1.31143,0,0,0,0,3.63156,inf,3.68785,0.0003625,0.0003625,0.0003625
2,25.0933,0.63192,1.49594,1.2313,0,0,0,0,4.28248,inf,47.311,0.000730199,0.000730199,0.000730199
3,35.7172,0.67778,1.32741,1.26294,0.0415,0.08901,0.01471,0.00267,4.43058,12.0266,5.3695,0.00109047,0.00109047,0.00109047
4,46.2995,0.65042,1.17436,1.24497,0.31984,0.45408,0.32617,0.18405,1.30409,2.79504,2.09436,0.00121287,0.00121287,0.00121287
5,56.8389,0.67203,1.13844,1.25381,0.36648,0.63283,0.45406,0.24161,1.63091,3.80896,2.57391,0.0012005,0.0012005,0.0012005
6,67.5251,0.6027,1.08123,1.19592,0.21398,0.2454,0.17976,0.1042,3.55588,23.575,4.07831,0.00118812,0.00118812,0.00118812
7,78.076,0.55634,1.02587,1.16517,0.43818,0.83123,0.69709,0.4461,0.75878,2.0259,1.58382,0.00117575,0.00117575,0.00117575
8,88.7506,0.54478,1.06591,1.16376,0.40979,0.78049,0.53715,0.39132,0.59823,2.36969,1.17109,0.00116337,0.00116337,0.00116337
9,99.287,0.5389,0.99631,1.16284,0.66156,0.77419,0.81446,0.68869,0.55202,1.19293,1.11167,0.001151,0.001151,0.001151
10,109.945,0.50149,0.94895,1.1339,0.5542,0.80753,0.77544,0.68478,0.53172,1.18059,0.9847,0.00113863,0.00113863,0.00113863
11,120.534,0.54617,0.97827,1.15528,0.58829,0.61821,0.59096,0.41728,0.61888,1.83277,1.22657,0.00112625,0.00112625,0.00112625
12,131.184,0.53392,0.98155,1.15489,0.81173,0.82319,0.86896,0.70569,0.51971,0.97695,1.00661,0.00111388,0.00111388,0.00111388
13,141.833,0.50896,0.89455,1.14444,0.84422,0.76233,0.84214,0.73074,0.5682,0.8403,1.30413,0.0011015,0.0011015,0.0011015
14,152.515,0.49716,0.90296,1.15151,0.61529,0.73678,0.70813,0.62451,0.5479,1.01671,1.12377,0.00108913,0.00108913,0.00108913
15,163.095,0.482,0.90327,1.12145,0.79024,0.74621,0.83484,0.67914,0.75957,1.06857,1.30908,0.00107675,0.00107675,0.00107675
16,173.715,0.47076,0.93718,1.11619,0.6203,0.72822,0.70986,0.59505,0.55639,0.98767,1.11476,0.00106437,0.00106437,0.00106437
17,184.311,0.45867,0.87249,1.10024,0.74658,0.78012,0.75122,0.67066,0.43123,1.06842,0.94162,0.001052,0.001052,0.001052
18,194.962,0.44595,0.86915,1.09218,0.7037,0.83191,0.83064,0.72027,0.4981,1.04932,0.9943,0.00103962,0.00103962,0.00103962
19,205.62,0.4643,0.8888,1.1117,0.73087,0.71535,0.72649,0.57439,0.71562,1.12905,1.08286,0.00102725,0.00102725,0.00102725
20,216.304,0.45443,0.87444,1.09199,0.75086,0.76602,0.80568,0.72945,0.48048,0.92537,1.09021,0.00101488,0.00101488,0.00101488
21,226.948,0.45821,0.86633,1.09883,0.81308,0.81043,0.88973,0.7983,0.48574,0.8164,1.05902,0.0010025,0.0010025,0.0010025
22,237.693,0.44447,0.83884,1.09606,0.86629,0.80217,0.90616,0.83084,0.4081,0.65024,0.86136,0.000990125,0.000990125,0.000990125
23,248.408,0.41007,0.82505,1.05914,0.80828,0.88278,0.8967,0.74575,0.50155,0.75405,1.03422,0.00097775,0.00097775,0.00097775
24,259.062,0.43195,0.83871,1.08954,0.76142,0.71056,0.77038,0.59449,0.86589,1.08249,1.27087,0.000965375,0.000965375,0.000965375
25,269.745,0.42972,0.81839,1.07182,0.71244,0.82698,0.81669,0.74581,0.38424,0.96294,0.86955,0.000953,0.000953,0.000953
26,280.359,0.42317,0.79722,1.08126,0.73892,0.82634,0.86634,0.76218,0.4039,0.86261,0.90074,0.000940625,0.000940625,0.000940625
27,290.943,0.4144,0.83753,1.08531,0.83081,0.80943,0.8566,0.76904,0.41581,0.73498,0.89655,0.00092825,0.00092825,0.00092825
