epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1543,2.85915,10.7153,4.15383,0.38152,0.6314,0.40773,0.31262,1.80074,7.34129,4.32829,0.000405702,0.000405702,0.000405702
2,22.134,1.99523,3.86842,3.08812,0.25573,0.64952,0.32057,0.09747,3.37323,4.55535,5.7118,0.000814227,0.000814227,0.000814227
3,32.2755,1.97355,3.0381,2.96215,0.13761,0.03421,0.02664,0.00698,6.90841,7.5423,7.92133,0.0012145,0.0012145,0.0012145
4,42.2739,1.82313,2.82583,2.87737,0.19062,0.63264,0.27779,0.15103,3.60573,5.88079,10.4336,0.00121287,0.00121287,0.00121287
5,52.3253,1.74419,2.77197,2.76746,0.12474,0.97851,0.32827,0.13816,4.84275,4.92657,11.468,0.0012005,0.0012005,0.0012005
6,62.4016,1.68517,2.60685,2.74278,0.28984,0.64104,0.34896,0.25598,2.11636,3.33647,4.64373,0.00118812,0.00118812,0.00118812
7,72.5008,1.67366,2.51442,2.75078,0.21606,0.54727,0.22673,0.15835,1.63703,6.2813,3.26636,0.00117575,0.00117575,0.00117575
8,82.9113,1.65107,2.44019,2.70097,0.1541,0.92105,0.29475,0.06264,4.08756,6.07261,7.75998,0.00116337,0.00116337,0.00116337
9,92.9857,1.65421,2.4276,2.73448,0.33337,0.78655,0.45565,0.37728,1.40086,2.61904,3.1596,0.001151,0.001151,0.001151
10,103.066,1.58315,2.36484,2.65182,0.28423,0.62066,0.24423,0.11489,4.98239,6.27166,7.83714,0.00113863,0.00113863,0.00113863
11,113.152,1.50148,2.26974,2.61331,0.52827,0.64881,0.55044,0.43577,1.71901,2.56033,3.69482,0.00112625,0.00112625,0.00112625
12,123.256,1.50039,2.31259,2.5915,0.53815,0.6238,0.60186,0.51308,1.2781,2.26368,2.99818,0.00111388,0.00111388,0.00111388
13,133.363,1.54944,2.26924,2.59362,0.12733,0.646,0.19717,0.08865,4.48237,7.61941,8.46343,0.0011015,0.0011015,0.0011015
14,143.429,1.52999,2.17231,2.62002,0.57358,0.63703,0.65531,0.50922,1.72622,2.36269,3.51896,0.00108913,0.00108913,0.00108913
15,153.538,1.50482,2.18169,2.58827,0.45268,0.80511,0.51386,0.43572,1.28677,3.46148,2.97365,0.00107675,0.00107675,0.00107675
16,163.617,1.49201,2.15981,2.58026,0.65298,0.76684,0.77795,0.6385,1.34554,2.1755,3.02238,0.00106437,0.00106437,0.00106437
