epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.75,1.49753,7.91245,2.73598,0.58097,0.35234,0.36036,0.30118,1.3948,7.44364,2.59085,0.000405702,0.000405702,0.000405702
2,22.0267,1.19193,2.72443,2.38345,0.63459,0.47198,0.48316,0.35838,2.09724,7.01075,4.29098,0.000814227,0.000814227,0.000814227
3,32.1904,1.17241,2.23084,2.34558,0.8921,0.08333,0.09478,0.04081,7.79182,8.17509,9.81308,0.0012145,0.0012145,0.0012145
4,42.3023,1.19918,1.98085,2.4027,0.46732,0.4505,0.41272,0.18406,3.41189,5.36474,4.66651,0.00121287,0.00121287,0.00121287
5,52.4301,1.17004,1.90194,2.34879,0.71677,0.65274,0.69372,0.51044,1.97727,2.87651,3.71744,0.0012005,0.0012005,0.0012005
6,62.5521,1.21205,1.9836,2.41077,0.37066,0.57068,0.42364,0.36355,1.16624,4.20663,2.57659,0.00118812,0.00118812,0.00118812
7,72.6735,1.09028,1.79385,2.32836,0.59831,0.69538,0.66111,0.46149,1.41556,2.74889,2.8606,0.00117575,0.00117575,0.00117575
8,83.2033,1.15979,1.79098,2.3411,0.62428,0.69188,0.63072,0.53232,1.3305,2.46702,2.58384,0.00116337,0.00116337,0.00116337
9,93.3219,1.13839,1.78873,2.33995,0.6205,0.78315,0.75572,0.58429,1.40306,2.1694,2.43885,0.001151,0.001151,0.001151
10,103.441,1.07518,1.73555,2.29155,0.63981,0.82431,0.76695,0.64387,1.23223,1.97292,2.33906,0.00113863,0.00113863,0.00113863
11,113.578,1.04701,1.62081,2.28739,0.62361,0.68782,0.70011,0.61418,1.00779,2.02392,2.19166,0.00112625,0.00112625,0.00112625
12,123.686,1.02974,1.82218,2.26378,0.7935,0.71448,0.78522,0.73053,0.93552,1.93414,2.13279,0.00111388,0.00111388,0.00111388
13,133.797,1.05654,1.63131,2.27194,0.73519,0.81719,0.85757,0.76793,1.06305,1.55192,2.24464,0.0011015,0.0011015,0.0011015
14,143.884,0.99712,1.54947,2.25448,0.82885,0.82938,0.87524,0.77514,1.0284,1.21459,2.23944,0.00108913,0.00108913,0.00108913
15,154.03,0.99128,1.65578,2.2446,0.77467,0.76488,0.83943,0.74648,1.07051,1.42388,2.1744,0.00107675,0.00107675,0.00107675
16,164.113,0.99288,1.53011,2.25428,0.67235,0.84698,0.84858,0.79467,0.9834,1.71561,2.26006,0.00106437,0.00106437,0.00106437
17,174.242,0.96943,1.65901,2.23851,0.74655,0.81372,0.84719,0.65778,1.37758,1.6259,2.172,0.001052,0.001052,0.001052
18,184.322,0.96276,1.52708,2.21304,0.72134,0.77615,0.78856,0.68493,1.00458,1.76647,2.11142,0.00103962,0.00103962,0.00103962
19,194.443,0.94574,1.55695,2.23542,0.69726,0.76593,0.78768,0.7063,0.94724,1.63253,2.03117,0.00102725,0.00102725,0.00102725
20,204.594,0.92345,1.56617,2.1857,0.7,0.82487,0.84575,0.76685,0.91802,1.3792,2.01704,0.00101488,0.00101488,0.00101488
21,214.688,0.89649,1.5388,2.15793,0.76488,0.81724,0.86643,0.80729,0.83935,1.25744,1.85589,0.0010025,0.0010025,0.0010025
22,224.784,0.88527,1.47994,2.17971,0.65131,0.7596,0.77581,0.64763,1.12837,1.86829,2.12823,0.000990125,0.000990125,0.000990125
23,234.897,0.91122,1.47683,2.17152,0.70122,0.89177,0.84764,0.72501,1.17526,1.53166,2.24174,0.00097775,0.00097775,0.00097775
24,244.987,0.95763,1.4714,2.22956,0.86811,0.84197,0.8911,0.80361,0.98729,1.11656,2.15466,0.000965375,0.000965375,0.000965375
25,255.125,0.9348,1.5004,2.21648,0.84373,0.87084,0.87541,0.81753,0.85322,1.12107,1.84978,0.000953,0.000953,0.000953
26,265.249,0.91769,1.49338,2.18255,0.81558,0.83923,0.86917,0.80774,0.83375,1.15091,1.99435,0.000940625,0.000940625,0.000940625
27,275.373,0.90558,1.48124,2.18877,0.79033,0.80042,0.84466,0.78284,0.86277,1.44369,2.11085,0.00092825,0.00092825,0.00092825
28,285.432,0.86227,1.44883,2.14601,0.80907,0.85024,0.88857,0.81822,0.98944,1.23503,2.19569,0.000915875,0.000915875,0.000915875
29,295.568,0.85829,1.3384,2.15302,0.78283,0.79537,0.83564,0.76105,0.93061,1.33181,1.98621,0.0009035,0.0009035,0.0009035
30,305.644,0.87231,1.37299,2.19352,0.70595,0.80363,0.7985,0.72491,0.94549,1.66353,2.01591,0.000891125,0.000891125,0.000891125
31,315.743,0.84807,1.41241,2.15822,0.8342,0.7886,0.84901,0.75806,0.89485,1.29341,1.96866,0.00087875,0.00087875,0.00087875
32,326.344,0.87125,1.34339,2.16604,0.8378,0.84103,0.8483,0.74616,0.99206,1.25595,1.99695,0.000866375,0.000866375,0.000866375
33,336.432,0.88651,1.42478,2.18572,0.76136,0.83891,0.87147,0.80772,0.90258,1.20221,2.01264,0.000854,0.000854,0.000854
34,346.48,0.88013,1.39937,2.17639,0.81551,0.81967,0.85734,0.80365,0.93248,1.21669,2.1157,0.000841625,0.000841625,0.000841625
35,356.568,0.8093,1.40871,2.12342,0.80033,0.84151,0.88187,0.82903,0.74768,1.11411,1.7581,0.00082925,0.00082925,0.00082925
36,366.647,0.77534,1.3513,2.10091,0.77474,0.82795,0.84095,0.71747,1.01787,1.31215,2.02853,0.000816875,0.000816875,0.000816875
37,376.734,0.88013,1.38613,2.17951,0.72152,0.87998,0.86083,0.7964,0.83937,1.409,1.89031,0.0008045,0.0008045,0.0008045
38,386.817,0.83738,1.3303,2.13986,0.82312,0.8405,0.8702,0.77077,0.936,1.26667,1.95939,0.000792125,0.000792125,0.000792125
39,396.934,0.86698,1.39812,2.15616,0.75248,0.86412,0.86578,0.80762,0.75639,1.2167,1.87762,0.00077975,0.00077975,0.00077975
40,407.032,0.79092,1.35627,2.10526,0.76869,0.86057,0.86877,0.79944,0.80348,1.25225,1.85687,0.000767375,0.000767375,0.000767375
41,417.167,0.77464,1.29603,2.09674,0.84248,0.83409,0.85943,0.78639,0.86103,1.77959,1.89462,0.000755,0.000755,0.000755
42,427.254,0.80129,1.38005,2.11721,0.846,0.8104,0.86959,0.82834,0.74861,1.14457,1.75963,0.000742625,0.000742625,0.000742625
43,437.349,0.80924,1.28955,2.13345,0.82631,0.86787,0.90064,0.78868,1.04451,1.14054,2.02513,0.00073025,0.00073025,0.00073025
44,447.438,0.81108,1.30569,2.12384,0.83994,0.83072,0.86606,0.81982,0.70736,1.10204,1.78013,0.000717875,0.000717875,0.000717875
45,457.539,0.83674,1.34904,2.13608,0.87248,0.76736,0.86733,0.83106,0.70849,1.16547,1.73637,0.0007055,0.0007055,0.0007055
46,467.635,0.81467,1.37124,2.12861,0.74294,0.83877,0.878,0.79993,0.79929,1.31583,1.76817,0.000693125,0.000693125,0.000693125
47,477.758,0.75229,1.2615,2.07648,0.74144,0.78588,0.84593,0.81002,0.72528,1.24995,1.82477,0.00068075,0.00068075,0.00068075
48,487.87,0.77265,1.18566,2.10106,0.79561,0.78495,0.83559,0.79482,0.7451,1.29822,1.74858,0.000668375,0.000668375,0.000668375
49,497.991,0.76899,1.23334,2.08526,0.791,0.87916,0.88625,0.81055,0.77925,1.11023,1.68928,0.000656,0.000656,0.000656
50,508.101,0.76739,1.26126,2.09572,0.75555,0.8254,0.85822,0.81131,0.71559,1.23029,1.66382,0.000643625,0.000643625,0.000643625
51,518.203,0.79024,1.20664,2.10163,0.75397,0.84824,0.84861,0.78938,0.82187,1.42843,1.80897,0.00063125,0.00063125,0.00063125
52,528.261,0.77535,1.21814,2.11105,0.78268,0.88279,0.86104,0.81375,0.75386,1.18657,1.74788,0.000618875,0.000618875,0.000618875
53,538.374,0.76589,1.23058,2.08321,0.86858,0.81794,0.87614,0.79812,0.86478,1.25971,1.79948,0.0006065,0.0006065,0.0006065
54,548.432,0.74568,1.25328,2.08511,0.81199,0.90533,0.90088,0.83216,0.89692,1.14739,1.86637,0.000594125,0.000594125,0.000594125
55,558.556,0.73839,1.25959,2.06901,0.8243,0.8505,0.86519,0.83326,0.65916,1.19163,1.6404,0.00058175,0.00058175,0.00058175
56,569.144,0.74591,1.24304,2.07605,0.81193,0.89453,0.88995,0.85048,0.65596,1.09304,1.66043,0.000569375,0.000569375,0.000569375
